Year,Province,Value
2010,Jeollanam-do,2.9
2010,Gyeongsangbuk-do,2.6
2010,Gyeongsangnam-do,2
2010,Jeju,2.6
2011,Whole country,1.8
2011,Seoul,1
2011,Busan,1.6
2011,Daegu,1.2
2011,Incheon,1.9
2011,Gwangju,2
2011,Daejeon,1.9
2011,Ulsan,1.5
2011,sejong-si,
2011,Gyeonggi-do,1.6
2011,Gangwon-do,2.6
2011,Chungcheongbuk-do,2.5
2011,Chungcheongnam-do,2.9
2011,Jeollabuk-do,2.8
2011,Jeollanam-do,3
2011,Gyeongsangbuk-do,2.5
2011,Gyeongsangnam-do,2.1
2011,Jeju,2.1
2012,Whole country,1.8
2012,Seoul,1.2
2012,Busan,1.6
2012,Daegu,1.1
2012,Incheon,1.8
2012,Gwangju,1.9
2012,Daejeon,2.3
2012,Ulsan,1.4
2012,sejong-si,2.2
2012,Gyeonggi-do,1.5
2012,Gangwon-do,2.3
2012,Chungcheongbuk-do,2.6
2012,Chungcheongnam-do,2.8
2012,Jeollabuk-do,2.6
2012,Jeollanam-do,2.7
2012,Gyeongsangbuk-do,2.1
2012,Gyeongsangnam-do,2.1
2012,Jeju,2.5
2013,Whole country,1.7
2013,Seoul,1.2
2013,Busan,1.8
2013,Daegu,1.6
2013,Incheon,1.7
2013,Gwangju,1.7
2013,Daejeon,1.9
2013,Ulsan,1.8
2013,sejong-si,1.7
2013,Gyeonggi-do,1.4
2013,Gangwon-do,2.4
2013,Chungcheongbuk-do,2.2
2013,Chungcheongnam-do,2.4
2013,Jeollabuk-do,2.3
2013,Jeollanam-do,2.9
2013,Gyeongsangbuk-do,2.4
2013,Gyeongsangnam-do,1.8
2013,Jeju,2.6
2014,Whole country,1.6
2014,Seoul,1
2014,Busan,1.5
2014,Daegu,1.3
2014,Incheon,1.7
2014,Gwangju,1.7
2014,Daejeon,1.8
2014,Ulsan,1.3
2014,sejong-si,1.7
2014,Gyeonggi-do,1.3
2014,Gangwon-do,2
2014,Chungcheongbuk-do,2
2014,Chungcheongnam-do,2.3
2014,Jeollabuk-do,2.5
2014,Jeollanam-do,2.6
2014,Gyeongsangbuk-do,2.4
2014,Gyeongsangnam-do,1.5
2014,Jeju,2.7
2015,Whole country,1.4
2015,Seoul,1
2015,Busan,1.4
2015,Daegu,1.1
2015,Incheon,1.6
2015,Gwangju,1.4
2015,Daejeon,1.8
2015,Ulsan,1.6
2015,sejong-si,1.3
2015,Gyeonggi-do,1.1
2015,Gangwon-do,2.1
2015,Chungcheongbuk-do,2
2015,Chungcheongnam-do,2
2015,Jeollabuk-do,1.9
2015,Jeollanam-do,2.1
2015,Gyeongsangbuk-do,1.7
2015,Gyeongsangnam-do,1.7
2015,Jeju,2.7
2016,Whole country,1.3
2016,Seoul,0.9
2016,Busan,1.5
2016,Daegu,0.9
2016,Incheon,1.4
2016,Gwangju,1.4
2016,Daejeon,1.4
2016,Ulsan,1.3
2016,sejong-si,1.1
2016,Gyeonggi-do,1
2016,Gangwon-do,1.5
2016,Chungcheongbuk-do,1.6
2016,Chungcheongnam-do,2
2016,Jeollabuk-do,1.5
2016,Jeollanam-do,2
2016,Gyeongsangbuk-do,1.4
2016,Gyeongsangnam-do,1.2
2016,Jeju,2.3
2017,Whole country,1
2017,Seoul,0.7
2017,Busan,1.1
2017,Daegu,0.8
2017,Incheon,1.2
2017,Gwangju,1.2
2017,Daejeon,1.5
2017,Ulsan,1.1
2017,sejong-si,0.8
2017,Gyeonggi-do,0.8
2017,Gangwon-do,1.4
2017,Chungcheongbuk-do,1.5
2017,Chungcheongnam-do,1.8
2017,Jeollabuk-do,1.3
2017,Jeollanam-do,1.8
2017,Gyeongsangbuk-do,1.1
2017,Gyeongsangnam-do,1.1
2017,Jeju,1.6
2018,Whole country,0.9
2018,Seoul,0.6
2018,Busan,1.1
2018,Daegu,0.7
2018,Incheon,1.2
2018,Gwangju,1
2018,Daejeon,1.3
2018,Ulsan,0.8
2018,sejong-si,1.2
2018,Gyeonggi-do,0.7
2018,Gangwon-do,1.2
2018,Chungcheongbuk-do,1.3
2018,Chungcheongnam-do,1.3
2018,Jeollabuk-do,1.1
2018,Jeollanam-do,1.6
2018,Gyeongsangbuk-do,1.2
2018,Gyeongsangnam-do,1.1
2018,Jeju,1.1
