Year,Units,Value
2005,Participation rate in learning one year befor the official primary entry age,0.99982
2013,Participation rate in learning one year befor the official primary entry age,1.00755
2014,Participation rate in learning one year befor the official primary entry age,0.99725
2015,Participation rate in learning one year befor the official primary entry age,0.99596
2016,Participation rate in learning one year befor the official primary entry age,0.99243
2017,Participation rate in learning one year befor the official primary entry age,1.0033
